,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
0,3,0,3.0,0.0,19.997333688841486,0.0
1,214,9,182.0,23.0,343.6481300081897,4.205607476635514
2,71,1,70.0,0.0,234.8116545953633,1.408450704225352
3,250,1,236.0,13.0,380.4017041996348,0.4
4,0,0,766.0,137.0,557.7745324019496,5.047318611987381
5,1034708,43366,0.0,991342.0,1848.4454384999608,4.191134117064912
6,13,0,13.0,0.0,373.2414585127763,0.0
7,805,0,692.0,113.0,2389.3621441928112,0.0
8,357,25,329.0,3.0,419.8419418571832,7.002801120448179
9,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
10,43388,791,0.0,42597.0,2305.9098639455783,1.8230847238867889
11,2,0,2.0,0.0,35.329447094152975,0.0
12,74355,3040,0.0,71315.0,1360.9906100708365,4.088494385044718
13,707,6,695.0,6.0,1826.024071491296,0.8486562942008486
14,0,0,0.0,0.0,,
15,60912,2041,0.0,58871.0,1940.7379086216783,3.35073548726031
16,656,32,0.0,0.0,0.0,0.0
17,279,16,0.0,0.0,0.0,0.0
18,3,0,3.0,0.0,19.997333688841486,0.0
19,214,9,182.0,23.0,343.6481300081897,4.205607476635514
20,71,1,70.0,0.0,234.8116545953633,1.408450704225352
21,253,1,236.0,16.0,384.9665246500304,0.3952569169960474
22,0,0,766.0,158.0,570.0913201836961,4.938271604938271
23,1053330,43826,0.0,1009504.0,1881.7125543971476,4.160709369333447
24,13,0,13.0,0.0,373.2414585127763,0.0
25,814,0,702.0,112.0,2416.07550978006,0.0
26,359,25,329.0,5.0,422.19399755386206,6.963788300835654
27,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
28,43902,802,0.0,43100.0,2333.2270408163267,1.826796045738235
29,2,0,2.0,0.0,35.329447094152975,0.0
30,75187,3079,0.0,72108.0,1376.2195010341734,4.095122827084469
31,711,6,695.0,10.0,1836.3551836355184,0.8438818565400844
32,0,0,0.0,0.0,,
33,61356,2063,0.0,59293.0,1954.884343337794,3.362344351000717
34,659,32,0.0,0.0,0.0,0.0
35,279,16,0.0,0.0,0.0,0.0
36,3,0,3.0,0.0,19.997333688841486,0.0
37,214,9,182.0,23.0,343.6481300081897,4.205607476635514
38,71,1,70.0,0.0,234.8116545953633,1.408450704225352
39,253,1,236.0,16.0,384.9665246500304,0.3952569169960474
40,0,0,766.0,172.0,578.3025120381938,4.8681541582150105
41,1073300,44304,0.0,1028996.0,1917.3877936016809,4.127830056834063
42,14,0,13.0,1.0,401.952339936836,0.0
43,842,1,712.0,129.0,2499.183758273723,0.1187648456057007
44,361,25,329.0,7.0,424.546053250541,6.925207756232687
45,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
46,44693,810,0.0,43883.0,2375.265731292517,1.81236435235943
47,2,0,2.0,0.0,35.329447094152975,0.0
48,76448,3143,0.0,73305.0,1399.3007889004814,4.11129133528673
49,716,6,695.0,15.0,1849.269073815796,0.8379888268156425
50,0,0,0.0,0.0,,
51,62284,2108,0.0,60176.0,1984.451666348053,3.3844968210134225
52,671,32,0.0,0.0,0.0,0.0
53,282,16,0.0,0.0,0.0,0.0
54,3,0,3.0,0.0,19.997333688841486,0.0
55,220,9,188.0,23.0,353.2831243074848,4.090909090909091
56,71,1,70.0,0.0,234.8116545953633,1.408450704225352
57,253,1,236.0,16.0,384.9665246500304,0.3952569169960474
58,0,0,766.0,189.0,588.2732450043695,4.785643070787637
59,1104143,44773,0.0,1059370.0,1972.4870125694035,4.055000122266772
60,14,0,13.0,1.0,401.952339936836,0.0
61,864,1,719.0,144.0,2564.483096375887,0.1157407407407407
62,363,25,329.0,9.0,426.8981089472199,6.887052341597796
63,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
64,45241,825,0.0,44416.0,2404.3898809523807,1.823567118321876
65,2,0,2.0,0.0,35.329447094152975,0.0
66,77660,3188,0.0,74472.0,1421.4851829480351,4.105073396858099
67,716,6,695.0,15.0,1849.269073815796,0.8379888268156425
68,0,0,0.0,0.0,,
69,63151,2142,0.0,61009.0,2012.0754476518196,3.391870279172143
70,688,32,0.0,0.0,0.0,0.0
71,282,16,0.0,0.0,0.0,0.0
72,3,0,3.0,0.0,19.997333688841486,0.0
73,222,9,189.0,24.0,356.4947890739165,4.054054054054054
74,71,1,70.0,0.0,234.8116545953633,1.408450704225352
75,253,1,236.0,16.0,384.9665246500304,0.3952569169960474
76,0,0,813.0,142.0,588.2732450043695,4.785643070787637
77,1128683,45053,0.0,1083630.0,2016.326289989496,3.991643357789565
78,15,0,13.0,2.0,430.66322136089576,0.0
79,876,1,729.0,146.0,2600.1009171588853,0.1141552511415525
80,363,25,329.0,9.0,426.8981089472199,6.887052341597796
81,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
82,45848,836,0.0,45012.0,2436.649659863945,1.8234165067178505
83,2,0,2.0,0.0,35.329447094152975,0.0
84,79017,3244,0.0,75773.0,1446.3236505408818,4.105445663591379
85,716,6,695.0,15.0,1849.269073815796,0.8379888268156425
86,0,0,0.0,0.0,,
87,63948,2171,0.0,61777.0,2037.468935194036,3.3949458935385
88,702,32,0.0,0.0,0.0,0.0
89,282,16,0.0,0.0,0.0,0.0
90,3,0,3.0,0.0,19.997333688841486,0.0
91,222,9,189.0,24.0,356.4947890739165,4.054054054054054
92,71,1,70.0,0.0,234.8116545953633,1.408450704225352
93,254,1,240.0,13.0,386.488131466829,0.3937007874015748
94,0,0,815.0,140.0,588.2732450043695,4.785643070787637
95,1152981,45449,0.0,1107532.0,2059.7332485369043,3.941868946669546
96,15,0,13.0,2.0,430.66322136089576,0.0
97,887,1,742.0,144.0,2632.750586209967,0.1127395715896279
98,363,25,329.0,9.0,426.8981089472199,6.887052341597796
99,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
100,46359,846,0.0,45513.0,2463.807397959184,1.82488837119006
101,2,0,2.0,0.0,35.329447094152975,0.0
102,80135,3280,0.0,76855.0,1466.7874727728663,4.093092905721595
103,720,6,695.0,19.0,1859.6001859600185,0.8333333333333334
104,0,0,0.0,0.0,,
105,64881,2191,0.0,62690.0,2067.195564901549,3.3769516499437437
106,719,32,0.0,0.0,0.0,0.0
107,282,16,0.0,0.0,0.0,0.0
108,3,0,3.0,0.0,19.997333688841486,0.0
109,222,9,189.0,24.0,356.4947890739165,4.054054054054054
110,71,1,70.0,0.0,234.8116545953633,1.408450704225352
111,254,1,240.0,13.0,386.488131466829,0.3937007874015748
112,0,0,816.0,139.0,588.2732450043695,4.785643070787637
113,1174979,45592,0.0,1129387.0,2099.031391352193,3.880239561728337
114,15,0,13.0,2.0,430.66322136089576,0.0
115,902,1,754.0,147.0,2677.272862188715,0.1108647450110864
116,363,25,329.0,9.0,426.8981089472199,6.887052341597796
117,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
118,46831,855,0.0,45976.0,2488.892431972789,1.825713736627448
119,2,0,2.0,0.0,35.329447094152975,0.0
120,81294,3280,0.0,78014.0,1488.0017571797266,4.034738111053707
121,720,6,695.0,19.0,1859.6001859600185,0.8333333333333334
122,0,0,0.0,0.0,,
123,66214,2207,0.0,64007.0,2109.666730389345,3.333131966049476
124,732,32,0.0,0.0,0.0,0.0
125,282,16,0.0,0.0,0.0,0.0
126,3,0,3.0,0.0,19.997333688841486,0.0
127,223,9,189.0,25.0,358.1006214571323,4.035874439461884
128,71,1,70.0,0.0,234.8116545953633,1.408450704225352
129,257,2,240.0,15.0,391.05295191722456,0.7782101167315175
130,0,0,816.0,182.0,613.4933342717553,4.588910133843212
131,1194402,45783,0.0,1148619.0,2133.7294469891312,3.833131558721436
132,15,0,13.0,2.0,430.66322136089576,0.0
133,907,1,768.0,138.0,2692.1136208482976,0.1102535832414553
134,363,25,329.0,9.0,426.8981089472199,6.887052341597796
135,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
136,47162,869,0.0,46293.0,2506.483843537415,1.8425851320978757
137,3,0,2.0,1.0,52.994170641229466,0.0
138,82011,3286,0.0,78725.0,1501.125693262314,4.006779578349246
139,720,6,695.0,19.0,1859.6001859600185,0.8333333333333334
140,0,0,0.0,0.0,,
141,67106,2209,0.0,64897.0,2138.0870451793794,3.291806991923226
142,746,32,0.0,0.0,0.0,0.0
143,282,16,0.0,0.0,0.0,0.0
144,3,0,3.0,0.0,19.997333688841486,0.0
145,223,9,189.0,25.0,358.1006214571323,4.035874439461884
